City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Marietta,US,2022-10-10 17:01:32,33.9526,-84.5499,72.5,52,0,4.61
68,Hilo,US,2022-10-10 17:00:05,19.7297,-155.09,82.27,90,35,1.99
69,Talnakh,RU,2022-10-10 17:02:08,69.4865,88.3972,33.58,99,100,9.01
70,Baruun-Urt,MN,2022-10-10 17:02:09,46.6806,113.2792,32.16,35,13,8.66
71,Mugango,TZ,2022-10-10 17:02:10,-1.6833,33.7,74.39,65,55,4.12
72,Korla,CN,2022-10-10 17:02:11,41.7597,86.1469,60.01,27,68,3.56
73,Tuktoyaktuk,CA,2022-10-10 17:02:12,69.4541,-133.0374,30.2,93,100,26.46
74,Meulaboh,ID,2022-10-10 17:02:13,4.1363,96.1285,76.89,86,100,2.64
75,Peringat,MY,2022-10-10 17:02:13,6.0333,102.2833,74.8,94,100,3.51
76,Linguere,SN,2022-10-10 17:02:14,15.3953,-15.1193,95.95,36,59,6.62
77,Grindavik,IS,2022-10-10 17:02:15,63.8424,-22.4338,39.67,65,75,10.36
78,Mahebourg,MU,2022-10-10 17:01:07,-20.4081,57.7,72.25,70,25,11.7
79,Iqaluit,CA,2022-10-10 17:01:29,63.7506,-68.5145,25.7,79,98,17.0
80,Koungou,YT,2022-10-10 17:02:17,-12.7336,45.2042,78.51,69,0,5.75
81,Avarua,CK,2022-10-10 16:58:25,-21.2078,-159.775,69.85,94,100,16.11
82,Moree,AU,2022-10-10 17:02:17,-29.4667,149.85,57.9,77,100,9.51
83,Shemysheyka,RU,2022-10-10 17:02:18,52.892,45.3928,50.92,82,100,8.05
84,Ostroleka,PL,2022-10-10 17:02:19,53.0862,21.5757,50.94,61,4,11.63
85,Fougeres,FR,2022-10-10 17:02:19,48.35,-1.2,64.26,92,100,11.74
86,Babu,CN,2022-10-10 17:02:20,24.4167,111.5167,57.47,30,8,3.71
87,Mataura,NZ,2022-10-10 17:02:21,-46.1927,168.8643,46.31,96,98,9.82
88,The Valley,AI,2022-10-10 17:02:22,18.217,-63.0578,86.83,75,73,15.61
89,Zhigansk,RU,2022-10-10 17:02:22,66.7697,123.3711,11.82,95,64,3.09
90,Lukulu,ZM,2022-10-10 17:03:23,-14.3707,23.242,80.71,14,10,5.73
91,Barra,BR,2022-10-10 17:03:23,-11.0894,-43.1417,92.93,28,6,8.79
92,Racconigi,IT,2022-10-10 17:03:24,44.7698,7.6789,62.78,92,99,1.16
93,Saskylakh,RU,2022-10-10 17:03:25,71.9167,114.0833,11.17,93,95,9.4
94,Aleksandrov Gay,RU,2022-10-10 17:03:26,50.147,48.5704,60.33,40,100,9.98
95,Agadez,NE,2022-10-10 17:03:26,19.75,10.25,85.59,16,0,7.07
96,Lompoc,US,2022-10-10 17:02:02,34.6391,-120.4579,57.61,94,100,0.0
97,Hobyo,SO,2022-10-10 17:03:27,5.3505,48.5268,78.55,82,81,21.9
98,Piacabucu,BR,2022-10-10 17:03:28,-10.4056,-36.4344,82.09,62,65,12.88
99,Caravelas,BR,2022-10-10 17:03:28,-17.7125,-39.2481,84.65,53,4,10.56
100,Presidente Medici,BR,2022-10-10 17:03:29,-11.1753,-61.9014,99.23,31,60,4.45
101,Faanui,PF,2022-10-10 17:03:29,-16.4833,-151.75,77.74,76,7,18.07
102,Soyo,AO,2022-10-10 17:03:30,-6.1349,12.3689,77.99,82,23,10.76
