City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
303,Mount Isa,AU,98.64,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
313,Capitao Poco,BR,76.12,clear sky,-1.7464,-47.0594,Hotel New Tokyo
321,Bairiki,KI,77.0,light intensity shower rain,1.3292,172.9752,Tarawa Boutique Hotel
333,Puerto Escondido,MX,81.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
336,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
339,Miri,MY,80.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
340,Mareeba,AU,93.43,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
343,Singapore,SG,78.84,moderate rain,1.2897,103.8501,The Fullerton Hotel Singapore
344,Del Rio,US,75.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
348,Luba,GQ,76.89,overcast clouds,3.4568,8.5547,
351,Culaba,PH,83.59,overcast clouds,11.6578,124.5425,Junrey Veraya
354,Mbini,GQ,76.03,light rain,1.574,9.6134,Candy Vista Mar Mbini
355,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
357,Portobelo,PA,78.12,light rain,9.55,-79.65,Scuba Portobelo
359,Mogadishu,SO,77.68,scattered clouds,2.0371,45.3438,Hotel Juba
362,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
367,Bandar-E Lengeh,IR,80.55,clear sky,26.5579,54.8807,کافی نت پارس
368,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Pousada Camboinha
373,Harper,LR,76.78,light rain,4.375,-7.7169,Screensaver
374,Regeneracao,BR,78.01,broken clouds,-6.2378,-42.6883,Hotel KANAYRA
377,Buala,SB,83.52,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
380,Palauig,PH,85.37,broken clouds,15.435,119.9045,Villa Raphael Resort
387,Vaitape,PF,79.5,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
391,Banjar,ID,85.78,overcast clouds,-8.19,114.9675,The Hamsa Resort
393,Sibolga,ID,79.54,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
396,Kuala Terengganu,MY,82.98,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
406,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
415,Noumea,NC,82.38,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
416,Umm Lajj,SA,77.23,clear sky,25.0213,37.2685,Moon light Furnished Units
417,Bowen,AU,82.92,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
421,Pamanukan,ID,83.82,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
428,Miramar,US,78.01,clear sky,25.9873,-80.2323,Stadium Hotel
434,Palembang,ID,82.49,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
436,Kadipaten,ID,84.79,overcast clouds,-8.1357,113.2158,SPOT ON 2440 Wallet Family Residence
440,Namatanai,PG,86.74,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
453,Quisqueya,DO,76.89,broken clouds,18.5554,-69.4081,Pensión Doña Rosa
458,Sassandra,CI,75.18,moderate rain,4.95,-6.0833,la terrasse
467,Manokwari,ID,84.65,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
470,Luwuk,ID,86.86,light rain,-0.9516,122.7875,Hotel Santika Luwuk
472,Kavieng,PG,84.29,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
485,Sur,OM,78.21,clear sky,22.5667,59.5289,Sur Plaza Hotel
487,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
490,Boyolangu,ID,84.06,moderate rain,-8.1181,111.8935,Yos ega cv
491,Kapit,MY,75.29,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
501,Grand Island,US,78.75,overcast clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
505,Eyl,SO,77.07,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
506,Mackay,AU,91.69,clear sky,-21.15,149.2,International Lodge Motel
507,Yala,TH,81.59,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
508,Carutapera,BR,78.82,clear sky,-1.195,-46.02,Lidera
509,Martapura,ID,82.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
510,Kununurra,AU,104.58,clear sky,-15.7667,128.7333,Hotel Kununurra
516,Muttupet,IN,80.71,light rain,10.4,79.4833,Hotel Star Residency
523,Gizo,SB,83.37,light rain,-8.103,156.8419,Imagination Island
525,Roebourne,AU,83.66,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
526,Nong Bua,TH,81.05,clear sky,15.8646,100.5858,ลภัสรดารีสอร์ท
527,Acarau,BR,78.66,few clouds,-2.8856,-40.12,castelo pizzaria
534,Isangel,VU,75.31,light rain,-19.55,169.2667,Tanna Lodge
540,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
543,Rapar,IN,78.35,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
548,Takoradi,GH,76.98,light rain,4.8845,-1.7554,Raybow International Hotel
551,Marawi,PH,80.64,light rain,7.9986,124.2928,Derogongan Residence
552,Sumenep,ID,85.33,overcast clouds,-7.0167,113.8667,Family Nur Hotel
