City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Khani,GE,41.9563,42.9566,40.57,66,100,2.37,overcast clouds
79,Kutum,SD,14.2,24.6667,73.09,24,100,15.61,overcast clouds
80,Khatanga,RU,71.9667,102.5,4.89,90,61,8.5,broken clouds
81,Kremasti,GR,36.4111,28.1189,66.13,68,0,9.22,clear sky
82,Katsuura,JP,35.1333,140.3,61.2,80,100,19.42,overcast clouds
83,Bontang,ID,0.1333,117.5,79.88,85,87,4.79,overcast clouds
84,Zuwarah,LY,32.9312,12.082,71.89,50,0,7.9,clear sky
85,Rio Tuba,PH,8.5061,117.4317,81.7,74,100,1.1,overcast clouds
86,Chino Valley,US,34.7575,-112.4538,53.51,25,75,14.97,broken clouds
87,North Bend,US,43.4065,-124.2243,55.85,87,0,6.91,clear sky
88,Cabo San Lucas,MX,22.8909,-109.9124,83.5,65,13,5.99,few clouds
89,Vicuna,CL,-30.0319,-70.7081,46.13,50,0,1.14,clear sky
90,Den Helder,NL,52.9599,4.7593,59.02,88,75,15.99,broken clouds
91,Port Macquarie,AU,-31.4333,152.9167,65.89,94,100,1.97,light rain
92,Portland,US,45.5234,-122.6762,56.8,67,75,1.99,broken clouds
93,Surt,LY,31.2089,16.5887,68.38,68,0,6.58,clear sky
94,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,78,0,8.01,clear sky
95,Kedrovyy,RU,56.1667,91.8167,28.87,91,100,10.69,light snow
96,Arraial Do Cabo,BR,-22.9661,-42.0278,71.71,81,89,6.11,overcast clouds
97,Narsaq,GL,60.9167,-46.05,34.02,97,100,3.38,light snow
98,Ambikapur,IN,23.1167,83.2,60.6,76,73,2.66,broken clouds
99,Moussoro,TD,13.6408,16.4901,88.36,35,90,4.63,overcast clouds
100,Avera,US,33.194,-82.5271,58.51,64,6,2.13,clear sky
101,Cockburn Town,TC,21.4612,-71.1419,81.36,73,69,12.33,light rain
102,Conde,BR,-7.2597,-34.9075,75.45,84,6,9.55,clear sky
103,Mayumba,GA,-3.432,10.6554,76.62,91,100,6.55,moderate rain
104,Severo-Kurilsk,RU,50.6789,156.125,38.48,82,73,4.12,broken clouds
105,Tilichiki,RU,60.4667,166.1,16.2,81,18,6.6,few clouds
106,Mar Del Plata,AR,-38.0023,-57.5575,58.08,83,0,25.99,clear sky
107,Flin Flon,CA,54.7682,-101.865,31.08,62,100,9.75,overcast clouds
108,Havre,FR,49.5833,0.3333,60.57,77,0,24.16,clear sky
109,Kiama,AU,-34.6833,150.8667,66.38,96,100,3.0,moderate rain
110,Yulara,AU,-25.2406,130.9889,76.91,36,0,12.59,clear sky
111,Jinchang,CN,38.4953,102.1739,50.95,40,98,1.7,overcast clouds
112,Tautira,PF,-17.7333,-149.15,78.48,76,19,8.05,few clouds
